Rank,名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
#3,蚊香泳士,95.8,62,水,格鬥,149.3,157.3,177,4158735,42.5,雙倍奉還,冰凍之風,熱水,7,8,3,50000
#5,基格爾德 完全體,94,718,龍,地面,126.2,146.9,266,4934387,25,龍尾,咬碎,地震,5,8,20,100000
#6,大比鳥,93.7,18,一般,飛行,152.1,142,176,3801427,50,翅膀攻擊,羽毛舞,勇鳥猛攻,7,7,1,10000
#15,烈箭鷹,91.2,663,火,飛行,160.5,142.9,168,3851770,50,燒盡,飛翔,蓄能焰襲,3,3,1,10000
#19,大嘴鷗,90.4,279,水,飛行,159.7,158.8,142,3600580,50,翅膀攻擊,氣象球 水,暴風,5,9,3,50000
#20,天蠍王,90.3,472,地面,飛行,148.8,185.8,151,4176599,39.5,翅膀攻擊,暗襲要害,地震,5,9,5,75000
#25,胖嘟嘟,90.1,593,水,幽靈,141.5,158,197,4404417,46.5,禍不單行,衝浪,暗影球,4,5,3,50000
#25,骨紋巨聲鱷,89.8,911,火,幽靈,157,140.7,180,3978753,31.5,燒盡,暗影球,魅惑之聲,3,3,3,10000
#27,毒刺水母,89.6,73,水,毒,141.2,185.2,168,4390693,48,毒擊,熱水,暴風雪,8,11,3,50000
#28,噴火龍,89.5,6,火,飛行,172.3,139,151,3617527,34,翅膀攻擊,爆炸烈焰,龍爪,7,5,3,10000
#33,死神棺,88.8,563,幽靈,,146.2,209.7,138,4229372,49,暗影爪,暗影球,惡之波動,7,7,3,50000
#38,電肚蛙,88.1,939,電,,148.6,139.9,201,4177449,40,電擊,放電,電磁炮,5,9,1,50000
#39,爆肌蚊,88.1,794,蟲,格鬥,166.4,142.4,158,3743017,26.5,雙倍奉還,蠻力,猛撲,6,7,20,100000
#40,暴雪王,88,460,草,冰,152.9,143.7,185,4062901,49,細雪,冰凍之風,能量球,6,7,3,50000
#41,冰雪巨龍,88,699,岩石,冰,147.1,134.8,214,4244259,36.5,細雪,氣象球 冰,流星光束,5,8,5,75000
#42,毛毛角羊,88,832,一般,,146.2,179,160,4187141,50,二連踢,泰山壓頂,以牙還牙,3,5,3,10000
#43,帝牙海獅,88,365,冰,水,146.4,148,197,4269506,38,細雪,冰錐,地震,5,9,3,50000
#44,具甲武者,87.9,768,蟲,水,161.1,171.2,140,3861521,29.5,暗影爪,燕返,水流裂破,5,6,1,10000
#45,戰舞郎,87.9,237,格鬥,,158,186.5,127,3742685,50,雙倍奉還,近身戰,三旋擊,7,7,5,75000
#46,朽木妖,87.9,709,幽靈,草,165.7,133.7,170,3763929,42,暗影爪,暗影球,種子炸彈,7,6,5,75000
#48,花潔夫人,87.8,671,妖精,,155.5,180.4,143,4011420,28.5,妖精之風,魅惑之聲,月亮之力,5,7,3,50000
#51,頭巾混混,87.7,560,惡,格鬥,146.2,196.3,148,4246710,49,雙倍奉還,欺詐,增強拳,7,5,3,50000
#52,妙蛙花,87.7,3,草,毒,158.5,155.4,160,3939799,39,藤鞭,瘋狂植物,污泥炸彈,6,7,3,10000
#53,君主蛇,87.5,497,草,,144.9,182.6,162,4288468,49.5,藤鞭,瘋狂植物,燕返,6,5,3,10000
#54,甲賀忍蛙,87.4,658,水,惡,179.7,129.5,149,3466117,39,飛水手裡劍,加農水砲,暗襲要害,3,3,3,10000
#55,蚊香蛙皇,87.3,186,水,,147.2,158.7,181,4227183,45.5,泥巴射擊,衝浪,暴風雪,5,9,3,50000
#58,大竺葵,87.1,154,草,,144.1,179.1,168,4333903,48.5,藤鞭,瘋狂植物,地震,6,9,3,10000
#62,皮可西,86.8,36,妖精,,151.1,143.6,190,4124214,48,妖精之風,月亮之力,彗星拳,7,6,1,10000
#63,水箭龜,86.7,9,水,,144.4,182.1,164,4311763,46,水槍,加農水砲,冰凍光束,14,19,3,10000
#67,大舌舔,86.4,463,一般,,136.6,159.8,209,4560814,47.5,舌舔,泰山壓頂,暗影球,12,19,3,50000
雷吉艾斯,86.4,378,冰,,133.9,237.1,146,4634630,30,鎖定,打雷,暴風雪,12,15,20,100000
#69,杖尾鱗甲龍,86.3,784,龍,格鬥,160.4,176.5,137,3879949,27.5,龍尾,近身戰,龍爪,5,4,5,75000
#70,雙彈瓦斯 伽勒爾,86.3,110,毒,妖精,154.9,175.7,147,4001272,48.5,妖精之風,狂舞揮打,嬉鬧,5,7,3,50000
#74,耿鬼,85.8,94,幽靈,毒,200.3,120.9,128,3099260,34,暗影爪,暗影球,暗影拳,7,5,3,50000
#77,大鋼蛇,85.8,208,鋼,地面,127,237.5,162,4887002,48,龍尾,廣域破壞,地震,4,8,5,75000
#78,堵攔熊,85.6,862,惡,一般,146.7,164.9,176,4256762,40.5,雙倍奉還,暗襲要害,十字劈,5,5,3,10000
#80,毒骷蛙,85.6,454,毒,格鬥,175.8,119.9,168,3542602,44,雙倍奉還,泥巴炸彈,暗影球,6,8,3,50000
#81,尼多后,85.5,31,毒,地面,151.8,152.6,178,4121450,46,毒擊,劇毒牙,大地之力,6,8,3,50000
#82,大狃拉,85.5,903,格鬥,毒,189,121.2,144,3299456,28.5,暗影爪,近身戰,燕返,6,5,5,75000
#83,死神板,85.4,867,地面,幽靈,146.2,209.7,138,4229372,49,暗影爪,流沙地獄,暗影球,5,7,3,50000
#84,閃電鳥,85.4,145,電,飛行,175.7,134.9,149,3531634,26,電擊,啄鑽,十萬伏特,5,7,20,100000
#85,電蜘蛛,85.3,596,蟲,電,181.5,120.2,157,3424193,50,伏特替換,放電,猛撲,3,3,3,50000
#87,雷公,85.2,243,電,,170.1,141.6,152,3660484,27,伏特替換,瘋狂伏特,暗影球,3,4,20,100000
#88,泥巴魚,85.2,618,地面,電,133.6,156.3,214,4468817,50,泥巴射擊,泥巴炸彈,放電,5,5,5,75000
#89,九尾 阿羅拉,85.1,38,冰,妖精,151.5,171.4,158,4101411,47.5,細雪,氣象球 冰,魔法閃耀,5,9,3,50000
#90,大劍鬼,84.9,503,水,,165.1,130,175,3755605,35.5,連斬,加農水砲,超級角擊,10,14,3,10000
