名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
基格爾德 完全體,98.2,718,龍,地面,167.2,186.5,339,10574857,50,龍尾,咬碎,地震,5,8,20,100000
騎拉帝納 別種,94.7,487,幽靈,龍,169.7,201.7,251,8592214,50,暗影爪,龍爪,原始之力,5,6,20,100000
快龍,93.9,149,龍,飛行,233.6,179,188,7860515,50,龍息,龍爪,蠻力,12,14,5,75000
固拉多,93.9,383,地面,,239.5,204.2,184,8997828,50,泥巴射擊,斷崖之劍,火焰拳,7,5,20,100000
索爾迦雷歐,92.8,791,超能力,鋼,226.9,173.1,234,9190002,50,火焰旋渦,精神之牙,鐵頭,4,5,20,100000
鳳王,92.4,250,火,飛行,213.4,217.6,192,8918739,50,燒盡,勇鳥猛攻,神聖之火,3,4,20,100000
快龍 暗影,92.1,149,龍,飛行,233.6,179,188,7860515,50,龍息,龍爪,蠻力,12,14,5,75000
超夢 暗影,92,150,超能力,,264.7,165.5,192,8412920,50,精神利刃,精神擊破,暗影球,5,7,20,100000
哲爾尼亞斯,92,716,妖精,,222.7,168.1,219,8195751,50,大地掌控,近身戰,月亮之力,4,5,20,100000
酋雷姆,91.7,646,龍,冰,219.3,155.5,218,7432544,50,龍息,冰封世界,龍爪,14,12,20,100000
美洛耶塔 歌聲,91.5,648,一般,超能力,222.7,201.7,201,9026553,50,電光一閃,精神衝擊,魔法閃耀,6,9,20,100000
鳳王 暗影,91.4,250,火,飛行,213.4,217.6,192,8918739,50,燒盡,勇鳥猛攻,神聖之火,3,4,20,100000
捷克羅姆,89.9,644,龍,電,243.7,189.9,184,8515164,50,龍息,咬碎,瘋狂伏特,15,15,20,100000
騎拉帝納 起源,89.6,487,幽靈,龍,201.7,169.7,251,8592214,50,暗影爪,暗影球,奇異之風,7,6,20,100000
暴鯉龍 暗影,89.4,130,水,飛行,211.8,168.9,194,6938524,50,龍息,水流尾,咬碎,12,15,1,10000
花潔夫人,89.3,671,妖精,,190.7,217.6,168,6974349,50,妖精之風,魅惑之聲,月亮之力,5,7,3,50000
萊希拉姆,89.2,643,龍,火,243.7,189.9,184,8515164,50,龍息,交錯火焰,流星群,15,22,20,100000
蒼響 百戰勇者,89.2,888,妖精,,226,210.9,173,8247852,50,大聲咆哮,近身戰,瘋狂伏特,4,4,20,100000
超夢,89.1,150,超能力,,264.7,165.5,192,8412920,50,精神利刃,精神擊破,暗影球,5,7,20,100000
