Rank,名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
#1,基格爾德 完全體,98.2,718,龍,地面,167.2,186.5,339,10574857,50,龍尾,咬碎,地震,5,8,20,100000
#3,快龍,93.9,149,龍,飛行,233.6,179,188,7860515,50,龍息,龍爪,蠻力,12,14,5,75000
#4,固拉多,93.9,383,地面,,239.5,204.2,184,8997828,50,泥巴射擊,斷崖之劍,火焰拳,7,5,20,100000
#6,鳳王,92.4,250,火,飛行,213.4,217.6,192,8918739,50,燒盡,勇鳥猛攻,神聖之火,3,4,20,100000
#13,捷克羅姆,89.9,644,龍,電,243.7,189.9,184,8515164,50,龍息,咬碎,瘋狂伏特,15,15,20,100000
#16,花潔夫人,89.3,671,妖精,,190.7,217.6,168,6974349,50,妖精之風,魅惑之聲,月亮之力,5,7,3,50000
#19,超夢,89.1,150,超能力,,264.7,165.5,192,8412920,50,精神利刃,精神擊破,暗影球,5,7,20,100000
#23,洛奇亞,87.3,249,超能力,飛行,174.8,273.1,210,10023854,50,龍尾,神鳥猛擊,氣旋攻擊,6,9,20,100000
#24,象牙豬,86.7,473,冰,地面,220.2,135.3,215,6403750,50,細雪,雪崩,十萬馬力,6,8,3,50000
#27,蓋歐卡,86.4,382,水,,239.5,204.2,184,8997828,50,攀瀑,衝浪,根源波動,5,8,20,100000
#28,暴鯉龍,86.3,130,水,飛行,211.8,168.9,194,6938524,50,龍息,水流尾,咬碎,12,15,1,10000
#33,三首惡龍,85.8,635,惡,龍,227.7,170.6,189,7341687,50,龍息,狂舞揮打,加農光炮,14,24,5,75000
#36,爆肌蚊,85.1,794,蟲,格鬥,210.9,177.3,194,7254820,50,雙倍奉還,蠻力,猛撲,6,7,20,100000
#37,烈咬陸鯊,85,445,龍,地面,231.9,174.8,213,8634174,50,泥巴射擊,逆鱗,大地之力,7,7,5,75000
#38,月月熊,84.9,901,地面,一般,216.8,164.7,245,8748037,50,撞擊,冰凍拳,十萬馬力,14,20,3,50000
#44,杖尾鱗甲龍,83.9,784,龍,格鬥,199.2,214.3,164,6998438,50,龍尾,近身戰,龍爪,5,4,5,75000
#45,巨金怪,83.9,376,鋼,超能力,228.6,204.2,172,8027353,50,子彈拳,彗星拳,地震,8,10,5,75000
#48,基格爾德 50%,83.4,718,龍,地面,183.2,207.6,213,8098448,50,龍尾,咬碎,地震,5,8,20,100000
#51,閃電鳥 伽勒爾,82.9,145,格鬥,飛行,224.4,171.4,186,7153575,50,雙倍奉還,原始之力,勇鳥猛攻,7,8,20,100000
#53,閃電鳥,82.8,145,電,飛行,225.2,168.1,186,7039576,50,電擊,啄鑽,十萬伏特,5,7,20,100000
#56,烈空坐,82.5,384,龍,飛行,251.2,155.5,191,7460107,50,龍尾,廣域破壞,畫龍點睛,4,8,20,100000
#58,修建老匠,81.9,534,格鬥,,216.8,145.4,208,6555380,50,雙倍奉還,狂舞揮打,爆裂拳,6,8,5,75000
#59,超甲狂犀,81.9,464,地面,岩石,215.1,172.3,223,8263565,50,擲泥,廣域破壞,岩石炮,4,6,3,50000
#61,冰岩怪,81.5,713,冰,,177.3,214.3,194,7370435,50,冰凍牙,雪崩,泰山壓頂,9,7,3,50000
#64,夢幻,81.1,151,超能力,,189.1,189.1,201,7185051,50,暗影爪,衝浪,瘋狂伏特,5,6,20,100000
#65,卡比獸,81.1,143,一般,,172.3,154.6,289,7697298,50,舌舔,泰山壓頂,蠻力,12,14,5,75000
#68,龍頭地鼠,80.4,530,地面,鋼,226.9,121,215,5902466,50,泥巴射擊,直衝鑽,岩崩,5,5,3,50000
#75,浩大鯨,79.6,975,冰,,187.4,116,304,6605813,50,冰礫,雪崩,泰山壓頂,5,4,3,50000
#81,波克基斯,78.7,468,妖精,飛行,201.7,194.9,178,6998226,50,撒嬌,原始之力,波導彈,8,10,3,50000
#83,急凍鳥,78.4,144,冰,飛行,173.9,210.9,186,6823792,50,冰礫,冰凍之風,原始之力,5,5,20,100000
#84,班基拉斯,78.1,248,岩石,惡,223.5,186.5,201,8381069,50,擊落,狂舞揮打,尖石攻擊,5,7,5,75000
#90,黏美龍,77.5,706,龍,,197.5,216,186,7932000,50,龍息,濁流,流星群,12,22,5,75000
#95,雙斧戰龍,77,612,龍,,251.2,157.1,166,6553746,50,雙倍奉還,廣域破壞,暗襲要害,5,5,5,75000
#96,仙子伊布,76.8,700,妖精,,183.2,184.9,194,6569762,50,撒嬌,月亮之力,精神衝擊,10,8,5,75000
